Name,Address 1,City,State,ZipCode,DistanceFromSearchedZipCode,SearchedZipCode,ServiceType,Phone,Hours,County
New Life Assembly of God,118 5th Street,Baldwin,City,KS,Distance: 0.00 Miles,66006, Pantry,785-249-9375,"PLEASE CALL TO CONFIRM HOURS
Tuesday - every week
8:00 AM - 12:00 PM
4:00 PM - 7:00 PM
Closed
Sunday, Monday, Wednesday, Thursday, Friday, Saturday",Douglas
New Life Assembly of God,118 5th Street,Baldwin,City,KS,Distance: 0.00 Miles,66006, Moblie Distribution,785-594-3045,"PLEASE CALL TO CONFIRM HOURS
Thursday - 4th Week
10:00 AM - 11:00 AM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Douglas
Christ First Ministries,229 N Neconi Avenue,Bonner,Springs,KS,Distance: 0.00 Miles,66012, Pantry,913-400-1188,"PLEASE CALL TO CONFIRM HOURS
Saturday - 1st Saturday
10:00 AM - 1:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Wyandotte
Christ First Ministries,229 N Neconi Avenue,Bonner,Springs,KS,Distance: 0.00 Miles,66012, On-site Meals,913-400-1188,"PLEASE CALL TO CONFIRM HOURS
Wednesday - every week
5:00 PM - 7:00 PM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Wyandotte
Stilwell Baptist Caring,19950 Broadmoor Lane,Stilwell,KS,66085,Distance: 3.00 Miles,66013, Pantry,913-897-2261,"PLEASE CALL TO CONFIRM HOURS
Thursday - every week
6:00 PM - 7:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Miami
Stilwell Baptist Caring,19950 Broadmoor Lane,Stilwell,KS,66085,Distance: 3.00 Miles,66013, On-site Meals,913-897-2261,"PLEASE CALL TO CONFIRM HOURS
Wednesday - 1st Week
12:00 PM - 2:30 PM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Miami
Stilwell Baptist Caring,19950 Broadmoor Lane,Stilwell,KS,66085,Distance: 3.00 Miles,66013, Moblie Distribution,913-897-2261,"PLEASE CALL TO CONFIRM HOURS
Tuesday - every week
2:00 PM - 4:00 PM
Closed
Sunday, Monday, Wednesday, Thursday, Friday, Saturday",Miami
Pantry of Hope,329 Elm Street,Nortonville,KS,66060,Distance: 4.70 Miles,66016, Pantry,913-774-2742,"PLEASE CALL TO CONFIRM HOURS
Thursday - every week
3:00 PM - 5:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Atchison
Gardner Church of the Nazarene,16640 N Moonlight,Gardner,KS,66030,Distance: 4.80 Miles,66021, Moblie Distribution,913-856-8307,"PLEASE CALL TO CONFIRM HOURS
Monday - 1st Week
10:00 AM - 11:30 AM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday, Saturday",Johnson
Eudora United Methodist Church,2084 N 1300 Rd.,Eudora,KS,66025,Distance: 0.00 Miles,66025, Moblie Distribution,785-542-5839,"PLEASE CALL TO CONFIRM HOURS
Wednesday - 3rd Week
10:00 AM - 11:00 AM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Douglas
Gardner Church of the Nazarene,16640 N Moonlight,Gardner,KS,66030,Distance: 0.00 Miles,66030, Moblie Distribution,913-856-8307,"PLEASE CALL TO CONFIRM HOURS
Monday - 1st Week
10:00 AM - 11:30 AM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday, Saturday",Johnson
Gardner Church of the Nazarene,16640 N Moonlight,Gardner,KS,66030,Distance: 0.20 Miles,66031, Moblie Distribution,913-856-8307,"PLEASE CALL TO CONFIRM HOURS
Monday - 1st Week
10:00 AM - 11:30 AM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday, Saturday",Johnson
First Baptist Church,417 South Walnut Street,Garnett,KS,66032,Distance: 0.00 Miles,66032, Pantry,785-448-5749,"PLEASE CALL TO CONFIRM HOURS
Thursday - 4th Week
4:00 PM - 5:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Anderson
Trinity Interfaith Food Pantry,1027 Vermont Street,Lawrence,KS,66044,Distance: 0.00 Miles,66044, Pantry,785-843-2207,"PLEASE CALL TO CONFIRM HOURS
Tuesday - every week
2:00 PM - 4:00 PM
Saturday - every week
10:00 AM - 12:00 PM
Closed
Sunday, Monday, Wednesday, Thursday, Friday",Douglas
Catholic Charities,1525 West 6th Suite A & B,Lawrence,KS,66044,Distance: 0.00 Miles,66044, Pantry,785-856-2694,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
9:00 AM - 4:00 PM
Tuesday - every week
9:00 AM - 4:00 PM
Wednesday - every week
9:00 AM - 4:00 PM
Thursday - every week
9:00 AM - 4:00 PM
Friday - every week
9:00 AM - 4:00 PM
Closed
Sunday, Saturday",Douglas
Salvation Army,946 New Hampshire Street,Lawrence,KS,66044,Distance: 0.00 Miles,66044, On-site Meals,785-843-4188,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
1:00 PM - 2:00 PM
Wednesday - every week
1:00 PM - 2:00 PM
Friday - every week
1:00 PM - 2:00 PM
Closed
Sunday, Tuesday, Thursday, Saturday",Douglas
Catholic Charities,1330 Kasold,Lawrence,KS,66044,Distance: 0.00 Miles,66044, Moblie Distribution,785-856-2694,"PLEASE CALL TO CONFIRM HOURS
Saturday - 4th Week
1:00 PM - 2:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Douglas
Ballard Community Services,1930 Harper Main Indoor Arena,Lawrence,KS,66044,Distance: 0.00 Miles,66044, Moblie Distribution,785-842-0440,"PLEASE CALL TO CONFIRM HOURS
Wednesday - 3rd Week
9:30 AM - 11:30 AM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Douglas
Just Food Warehouse,1000 East 11th Street,Lawrence,KS,66046,Distance: 1.30 Miles,66044, Pantry,785-856-7030,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
1:00 PM - 7:00 PM
Tuesday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Wednesday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Thursday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Friday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Closed
Sunday, Saturday",Douglas
Cornerstone Southern Baptist,802 W 22nd Terrace,Lawrence,KS,66046,Distance: 1.30 Miles,66044, Pantry,785-843-0442,"PLEASE CALL TO CONFIRM HOURS
Monday - 2nd and 4th Week
11:00 AM - 3:00 PM
Saturday - 1st and 3rd Week
9:00 AM - 12:00 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday",Douglas
Just Food,1000 East 11th Street,Lawrence,KS,66046,Distance: 1.30 Miles,66044, Moblie Distribution,785-856-7030,"PLEASE CALL TO CONFIRM HOURS
Monday - 1st week
1:00 PM - 2:00 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday, Saturday",Douglas
Salvation Army,946 New Hampshire Street,Lawrence,KS,66046,Distance: 1.30 Miles,66044, Pantry,785-843-4188,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
9:00 AM - 12:00 PM
Tuesday - every week
9:00 AM - 12:00 PM
Thursday - every week
9:00 AM - 12:00 PM
Closed
Sunday, Wednesday, Friday, Saturday",Douglas
Heritage Baptist Church,1781 East 800th Road,Lawrence,KS,66049,Distance: 1.50 Miles,66044, Pantry,785-887-2200,"PLEASE CALL TO CONFIRM HOURS
Thursday - 1st and 3rd Week
4:00 PM - 6:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Douglas
First Baptist Church,1330 Kasold Drive,Lawrence,KS,66049,Distance: 1.50 Miles,66044, Pantry,785-843-0020,"PLEASE CALL TO CONFIRM HOURS
Wednesday - every week
12:00 PM - 2:00 PM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Douglas
Lawrence First United Methodist Church,867 Highway 40,Lawrence,KS,66049,Distance: 1.50 Miles,66044, Moblie Distribution,785-861-7704,"PLEASE CALL TO CONFIRM HOURS
Saturday - 2nd Week
11:00 AM - 12:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Douglas
Trinity Interfaith Food Pantry,1027 Vermont Street,Lawrence,KS,66044,Distance: 0.60 Miles,66045, Pantry,785-843-2207,"PLEASE CALL TO CONFIRM HOURS
Tuesday - every week
2:00 PM - 4:00 PM
Saturday - every week
10:00 AM - 12:00 PM
Closed
Sunday, Monday, Wednesday, Thursday, Friday",Douglas
Catholic Charities,1525 West 6th Suite A & B,Lawrence,KS,66044,Distance: 0.60 Miles,66045, Pantry,785-856-2694,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
9:00 AM - 4:00 PM
Tuesday - every week
9:00 AM - 4:00 PM
Wednesday - every week
9:00 AM - 4:00 PM
Thursday - every week
9:00 AM - 4:00 PM
Friday - every week
9:00 AM - 4:00 PM
Closed
Sunday, Saturday",Douglas
Salvation Army,946 New Hampshire Street,Lawrence,KS,66044,Distance: 0.60 Miles,66045, On-site Meals,785-843-4188,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
1:00 PM - 2:00 PM
Wednesday - every week
1:00 PM - 2:00 PM
Friday - every week
1:00 PM - 2:00 PM
Closed
Sunday, Tuesday, Thursday, Saturday",Douglas
Catholic Charities,1330 Kasold,Lawrence,KS,66044,Distance: 0.60 Miles,66045, Moblie Distribution,785-856-2694,"PLEASE CALL TO CONFIRM HOURS
Saturday - 4th Week
1:00 PM - 2:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Douglas
Ballard Community Services,1930 Harper Main Indoor Arena,Lawrence,KS,66044,Distance: 0.60 Miles,66045, Moblie Distribution,785-842-0440,"PLEASE CALL TO CONFIRM HOURS
Wednesday - 3rd Week
9:30 AM - 11:30 AM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Douglas
Lawrence First United Methodist Church,867 Highway 40,Lawrence,KS,66049,Distance: 1.10 Miles,66045, Moblie Distribution,785-861-7704,"PLEASE CALL TO CONFIRM HOURS
Saturday - 2nd Week
11:00 AM - 12:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Douglas
